Analyzing './from_snowman/other-030_hello/ia32_pe/subject.exe' as a x86 32 PECOFF binary file.

35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Resolving indirect jumps...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Resolving constants and strings...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Discovering unreached functions...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Computing call tree...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Computing calling conventions...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
Computing Calling Convention: 2/35  0x0040129C
Computing Calling Convention: 4/35  0x00401438
Computing Calling Convention: 5/35  0x00401440
Computing Calling Convention: 6/35  0x00401514
Computing Calling Convention: 7/35  0x004015F4
Computing Calling Convention: 9/35  0x00401648
Computing Calling Convention: 10/35  0x0040172C
Computing Calling Convention: 11/35  0x00401974
Computing Calling Convention: 14/35  0x00401B8C
Computing Calling Convention: 15/35  0x00401B94
Computing Calling Convention: 16/35  0x00401B9C
Computing Calling Convention: 17/35  0x00401BA4
Computing Calling Convention: 18/35  0x00401BAC
Computing Calling Convention: 19/35  0x00401BBC
Computing Calling Convention: 20/35  0x00401BC4
Computing Calling Convention: 21/35  0x00401BCC
Computing Calling Convention: 22/35  0x00401BD4
Computing Calling Convention: 23/35  0x00401BDC
Computing Calling Convention: 24/35  0x00401BE4
Computing Calling Convention: 25/35  0x00401BEC
Computing Calling Convention: 26/35  0x00401BF4
Computing Calling Convention: 27/35  0x00401BFC
Computing Calling Convention: 28/35  0x00401C04
Computing Calling Convention: 29/35  0x00401C0C
Computing Calling Convention: 30/35  0x00401C14
Computing Calling Convention: 31/35  0x00401C1C
Computing Calling Convention: 32/35  0x00401C24
Computing Calling Convention: 33/35  0x00401C2C
Computing Calling Convention: 34/35  0x00401C34
Computing Calling Convention: 35/35  0x00401C3C
Computing Calling Convention: 2/5  0x0040138C
Computing Calling Convention: 4/5  0x00401998
Computing Calling Convention: 5/5  0x00401B04
Computing Calling Convention: 1/2  0x00401000
Computing Calling Convention: xx/1  0x004015FC
Computing label cross-references...
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered
File analysis complete.
35 Procs, 258 Labels, 219 Branches, 0 / 3 kB covered

Decompiling 1/35: 0x00401000
Decompiling 2/35: 0x0040129C
Decompiling 3/35: 0x0040138C
Decompiling 4/35: 0x00401438
Decompiling 5/35: 0x00401440
Decompiling 6/35: 0x00401514
Decompiling 7/35: 0x004015F4
Decompiling 8/35: 0x004015FC
