=== Using options:--aggressive-branch-removal
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A4DC: warning: Unable to resolve imported reference lame_get_bWriteVbrTag.
0804A7DC: warning: Unable to resolve imported reference lame_set_bWriteVbrTag.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A7DC: warning: Unable to resolve imported reference lame_set_bWriteVbrTag.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A66C: warning: Unable to resolve imported reference lame_set_VBR_mean_bitrate_kbps.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804A66C: warning: Unable to resolve imported reference lame_set_VBR_mean_bitrate_kbps.
0804A6AC: warning: Unable to resolve imported reference lame_get_mode.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A89C: warning: Unable to resolve imported reference lame_get_free_format.
0804A9BC: warning: Unable to resolve imported reference lame_get_brate.
0804A9BC: warning: Unable to resolve imported reference lame_get_brate.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804A0BC: warning: Unable to resolve imported reference lame_set_num_channels.
0804A66C: warning: Unable to resolve imported reference lame_set_VBR_mean_bitrate_kbps.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804A66C: warning: Unable to resolve imported reference lame_set_VBR_mean_bitrate_kbps.
0804A88C: warning: Unable to resolve imported reference lame_set_preset.
0804A96C: warning: Unable to resolve imported reference lame_set_VBR_q.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A96C: warning: Unable to resolve imported reference lame_set_VBR_q.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A96C: warning: Unable to resolve imported reference lame_set_VBR_q.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A88C: warning: Unable to resolve imported reference lame_set_preset.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A88C: warning: Unable to resolve imported reference lame_set_preset.
0804A4BC: warning: Unable to resolve imported reference lame_set_VBR.
0804A8BC: warning: Unable to resolve imported reference lame_set_mode.
0804A14C: warning: Unable to resolve imported reference lame_set_decode_only.
0804A39C: warning: Unable to resolve imported reference lame_set_disable_reservoir.
0804A32C: warning: Unable to resolve imported reference lame_set_strict_ISO.
0804A60C: warning: Unable to resolve imported reference atof.
0804AA0C: warning: Unable to resolve imported reference lame_set_scale.
0804A60C: warning: Unable to resolve imported reference atof.
0804A9AC: warning: Unable to resolve imported reference lame_set_scale_left.
0804A60C: warning: Unable to resolve imported reference atof.
0804A12C: warning: Unable to resolve imported reference lame_set_scale_right.
0804A57C: warning: Unable to resolve imported reference lame_set_asm_optimizations.
0804A42C: warning: Unable to resolve imported reference lame_set_free_format.
0804A57C: warning: Unable to resolve imported reference lame_set_asm_optimizations.
0804A5EC: warning: Unable to resolve imported reference lame_set_findReplayGain.
0804A57C: warning: Unable to resolve imported reference lame_set_asm_optimizations.
