=== Using options:--aggressive-branch-removal
0000000000401008: warning: Unable to resolve imported reference __gmon_start__.
000000000042DED7: warning: x86 instruction 'crc32' is not supported yet.
000000000042DDD9: warning: x86 instruction 'crc32' is not supported yet.
000000000042DCD9: warning: x86 instruction 'crc32' is not supported yet.
000000000042DBDB: warning: x86 instruction 'crc32' is not supported yet.
000000000042DADB: warning: x86 instruction 'crc32' is not supported yet.
000000000042D9DD: warning: x86 instruction 'crc32' is not supported yet.
000000000042D8DD: warning: x86 instruction 'crc32' is not supported yet.
000000000042D7DF: warning: x86 instruction 'crc32' is not supported yet.
000000000042D6DF: warning: x86 instruction 'crc32' is not supported yet.
000000000042D5E1: warning: x86 instruction 'crc32' is not supported yet.
000000000042D4E1: warning: x86 instruction 'crc32' is not supported yet.
000000000042D3E3: warning: x86 instruction 'crc32' is not supported yet.
000000000042D2E3: warning: x86 instruction 'crc32' is not supported yet.
000000000042D1E5: warning: x86 instruction 'crc32' is not supported yet.
000000000042D0E5: warning: x86 instruction 'crc32' is not supported yet.
000000000042CFE7: warning: x86 instruction 'crc32' is not supported yet.
000000000042CEE7: warning: x86 instruction 'crc32' is not supported yet.
000000000042CDE9: warning: x86 instruction 'crc32' is not supported yet.
000000000042CCE9: warning: x86 instruction 'crc32' is not supported yet.
000000000042CBEB: warning: x86 instruction 'crc32' is not supported yet.
000000000042CAEB: warning: x86 instruction 'crc32' is not supported yet.
0000000000439E10: warning: Expected sizes of arrays to have been determined by now
0000000000439E10: warning: Expected sizes of arrays to have been determined by now
