=== Using options:--aggressive-branch-removal
00000000004225F4: warning: Unable to resolve imported reference setsid.
00000000004225CB: warning: Unable to resolve imported reference setgid.
00000000004224D0: warning: Unable to resolve imported reference caml_local_roots.
0000000000422531: warning: Unable to resolve imported reference __recv_chk.
0000000000422573: warning: Unable to resolve imported reference caml_local_roots.
0000000000422351: warning: Unable to resolve imported reference caml_local_roots.
00000000004223D5: warning: Unable to resolve imported reference __recvfrom_chk.
0000000000422452: warning: Unable to resolve imported reference caml_local_roots.
000000000042227D: warning: Unable to resolve imported reference __memmove_chk.
0000000000422296: warning: Unable to resolve imported reference send.
0000000000422145: warning: Unable to resolve imported reference __memmove_chk.
0000000000422167: warning: Unable to resolve imported reference sendto.
0000000000421EE5: warning: Unable to resolve imported reference caml_local_roots.
0000000000421FFD: warning: Unable to resolve imported reference select.
0000000000421DFF: warning: Unable to resolve imported reference caml_local_roots.
0000000000421EB4: warning: Unable to resolve imported reference caml_local_roots.
0000000000422092: warning: Unable to resolve imported reference caml_local_roots.
0000000000421D68: warning: Unable to resolve imported reference rmdir.
0000000000421D54: warning: Unable to resolve imported reference rewinddir.
0000000000421D14: warning: Unable to resolve imported reference rename.
0000000000421C80: warning: Unable to resolve imported reference readdir64.
0000000000421B89: warning: Unable to resolve imported reference caml_local_roots.
0000000000421BEA: warning: Unable to resolve imported reference __read_chk.
0000000000421C2C: warning: Unable to resolve imported reference caml_local_roots.
0000000000421B1F: warning: Unable to resolve imported reference putenv.
000000000042192E: warning: Unable to resolve imported reference caml_local_roots.
00000000004219EB: warning: Unable to resolve imported reference caml_local_roots.
00000000004218DD: warning: Unable to resolve imported reference nice.
0000000000421897: warning: Unable to resolve imported reference mkfifo.
000000000042181A: warning: Unable to resolve imported reference lseek64.
00000000004217D7: warning: Unable to resolve imported reference lseek64.
000000000042162E: warning: Unable to resolve imported reference listen.
00000000004215DE: warning: Unable to resolve imported reference kill.
00000000004214F6: warning: Unable to resolve imported reference modf.
000000000042150D: warning: Unable to resolve imported reference ceil.
0000000000421590: warning: Unable to resolve imported reference setitimer.
00000000004214B8: warning: Unable to resolve imported reference getitimer.
0000000000421403: warning: Unable to resolve imported reference gmtime.
000000000042128A: warning: Unable to resolve imported reference caml_local_roots.
000000000042139D: warning: Unable to resolve imported reference caml_local_roots.
0000000000421173: warning: Unable to resolve imported reference getsockname.
0000000000421125: warning: Unable to resolve imported reference getservbyname.
0000000000421040: warning: Unable to resolve imported reference caml_local_roots.
0000000000421105: warning: Unable to resolve imported reference getservbyport.
0000000000420E8E: warning: Unable to resolve imported reference caml_local_roots.
0000000000420E3A: warning: Unable to resolve imported reference getprotobyname.
0000000000420D83: warning: Unable to resolve imported reference caml_local_roots.
0000000000420E1A: warning: Unable to resolve imported reference getprotobynumber.
0000000000420D54: warning: Unable to resolve imported reference getppid.
0000000000420CE7: warning: Unable to resolve imported reference getpeername.
0000000000420B71: warning: Unable to resolve imported reference caml_local_roots.
0000000000420C82: warning: Unable to resolve imported reference caml_local_roots.
0000000000420B20: warning: Unable to resolve imported reference getlogin.
0000000000420AED: warning: Unable to resolve imported reference gethostname.
0000000000420A09: warning: Unable to resolve imported reference gethostbyaddr_r.
00000000004207FC: warning: Unable to resolve imported reference caml_local_roots.
0000000000420869: warning: Unable to resolve imported reference caml_atom_table.
00000000004208EB: warning: Unable to resolve imported reference caml_local_roots.
000000000042093B: warning: Unable to resolve imported reference __h_errno_location.
0000000000420958: warning: Unable to resolve imported reference gethostbyname_r.
0000000000420768: warning: Unable to resolve imported reference getgroups.
0000000000420664: warning: Unable to resolve imported reference caml_local_roots.
00000000004205FC: warning: Unable to resolve imported reference getegid.
00000000004200D3: warning: Unable to resolve imported reference caml_local_roots.
000000000042025B: warning: Unable to resolve imported reference socket_domain_table.
0000000000420344: warning: Unable to resolve imported reference caml_local_roots.
0000000000420277: warning: Unable to resolve imported reference socket_type_table.
000000000042054E: warning: Unable to resolve imported reference caml_local_roots.
000000000042045E: warning: Unable to resolve imported reference socket_domain_table.
0000000000420487: warning: Unable to resolve imported reference socket_type_table.
00000000004204D4: warning: Unable to resolve imported reference caml_local_roots.
0000000000420072: warning: Unable to resolve imported reference ftruncate64.
0000000000420043: warning: Unable to resolve imported reference ftruncate64.
0000000000420010: warning: Unable to resolve imported reference fork.
000000000041FE9D: warning: Unable to resolve imported reference fchown.
000000000041FE6A: warning: Unable to resolve imported reference fchmod.
000000000041FD7A: warning: Unable to resolve imported reference execve.
000000000041FCD8: warning: Unable to resolve imported reference error_table.
000000000041FC82: warning: Unable to resolve imported reference dup2.
000000000041FB38: warning: Unable to resolve imported reference chroot.
000000000041FB12: warning: Unable to resolve imported reference chown.
000000000041FAC0: warning: Unable to resolve imported reference chdir.
000000000041FA27: warning: Unable to resolve imported reference alarm.
000000000041F8EE: warning: Unable to resolve imported reference caml_local_roots.
000000000041F857: warning: Unable to resolve imported reference camlCallback.
000000000041F868: warning: Unable to resolve imported reference camlCallback.
000000000041F830: warning: Unable to resolve imported reference caml_register_named_value.
000000000041F810: warning: Unable to resolve imported reference caml_young_limit.
000000000041F830: warning: Unable to resolve imported reference caml_register_named_value.
000000000041F7DA: warning: Unable to resolve imported reference caml_register_named_value.
