=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
0000000140017BDA: warning: Unable to resolve imported reference gdiplus.dll!GdipGetImageHeight.
00000001400B7BC8: warning: Unable to resolve imported reference gdiplus.dll!GdipGetImagePixelFormat.
00000001400B7AA7: warning: Unable to resolve imported reference SHLWAPI.dll!PathFindExtensionW.
00000001400B7AF6: warning: Unable to resolve imported reference gdiplus.dll!GdipAlloc.
00000001400B7B1C: warning: Unable to resolve imported reference gdiplus.dll!GdipLoadImageFromFile.
0000000140020ED6: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
0000000140020F1F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
0000000140020F1F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
00000001400B610B: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsUNCW.
00000001400B6121: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripToRootW.
00000001400B5DE3: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400B58F4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400B58F4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
0000000140020C20: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140020C20: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B575F: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400B512F: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400B4345: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400B435E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
00000001400B435E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
00000001400B43B4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
00000001400B43B4: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_23.
00000001400B4403: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400B465B: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
00000001400B3F2C: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400939D1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400939D1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400939EE: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
0000000140093A62: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140093A62: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400B242A: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400B2440: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400B24A2: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400B252C: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400B262C: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400B22E2: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400B22F8: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400B232B: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400B0F0C: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400B0EAA: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400AF50D: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400AF4D3: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
00000001400ACC19: warning: Unable to resolve imported reference SHELL32.dll!SHBrowseForFolderW.
00000001400AC58C: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400AC910: warning: Unable to resolve imported reference PSAPI.DLL!GetModuleFileNameExW.
00000001400AC927: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400AC98E: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400AC6E7: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
000000014008053C: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
0000000140080581: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400A8C63: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400A5E73: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400A5F95: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
00000001400A5F95: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
00000001400A52B2: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400A4AA7: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400A3737: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
00000001400A2BD4: warning: Unable to resolve imported reference SHELL32.dll!SHBrowseForFolderW.
00000001400A23A8: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveBlanksW.
00000001400A23D1: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveBlanksW.
00000001400A1C66: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
00000001400A1DC3: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
00000001400A1DDF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400A1DDF: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400A1E2A: warning: Unable to resolve imported reference SHLWAPI.dll!PathCombineW.
00000001400A19F5: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_16.
00000001400A19F5: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_16.
00000001400A1A2A: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400A1A2A: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400A1A36: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
00000001400A1A36: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
00000001400A1407: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400A1443: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
00000001400A145B: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
00000001400A1488: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400A14C4: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
00000001400A14F8: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400A1534: warning: Unable to resolve imported reference SHLWAPI.dll!StrRetToBufW.
000000014009FE21: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
000000014009FE6E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014009FE6E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
000000014009FE9A: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
000000014009F8F8: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009F8F8: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009F92E: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014009F847: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009F847: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009F815: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpIW.
000000014009F785: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009F785: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009E7F9: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
000000014009E804: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
000000014009E817: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpLogicalW.
000000014009E969: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
000000014009E974: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
000000014009E987: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpLogicalW.
000000014009DB88: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
000000014009DBAD: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
000000014009C72E: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
000000014009C764: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009C8EE: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009C9C4: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009CA9A: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009CB70: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009CC46: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014009A637: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009A637: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009A5DD: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpIW.
000000014009A689: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpIW.
000000014009A6CE: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpIW.
000000014009A712: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpIW.
000000014009A4DB: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014009A36E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009A36E: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
000000014009A384: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014009A384: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014009A0F0: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014009A14C: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
0000000140099A48: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
0000000140099E1A: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140098906: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140098906: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400989A5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400989A5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140097835: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsSameRootW.
00000001400761E3: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400762A3: warning: Call target address 0000000000000000 is invalid.
0000000140097AB5: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsSameRootW.
0000000140097564: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
000000014007E01D: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
000000014007E066: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
000000014007E066: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_17.
000000014007E06F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014007E06F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140095385: error: Argument size mismatch between word32 and uint64.
000000014009655A: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
0000000140096578: warning: Unable to resolve imported reference USER32.dll!SetWindowLongPtrW.
00000001400948BC: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateBitmapFromScan0.
00000001400948D5: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateHBITMAPFromBitmap.
0000000140094A35: warning: Unable to resolve imported reference gdiplus.dll!GdipDisposeImage.
0000000140096397: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateBitmapFromScan0.
00000001400963BA: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateHBITMAPFromBitmap.
00000001400964F3: warning: Unable to resolve imported reference gdiplus.dll!GdipDisposeImage.
0000000140094B06: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateBitmapFromScan0.
0000000140094B21: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateHBITMAPFromBitmap.
0000000140094C9F: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateBitmapFromScan0.
0000000140094CB6: warning: Unable to resolve imported reference gdiplus.dll!GdipCreateHBITMAPFromBitmap.
0000000140094D89: warning: Unable to resolve imported reference gdiplus.dll!GdipDisposeImage.
0000000140094D93: warning: Unable to resolve imported reference gdiplus.dll!GdipDisposeImage.
0000000140095C93: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
0000000140095CB7: warning: Unable to resolve imported reference USER32.dll!GetClassLongPtrW.
0000000140093DC2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140093DC2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014009262F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014009262F: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140092F97: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
0000000140092FA5: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
0000000140093EE1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140093EE1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
000000014001F8D9: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400937E6: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400937E6: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140093681: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140093681: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140092DFB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140092DFB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
0000000140092072: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
000000014008EB47: warning: Unable to resolve imported reference USERENV.dll!ExpandEnvironmentStringsForUserW.
000000014008E992: warning: Unable to resolve imported reference SHLWAPI.dll!SHDeleteKeyW.
000000014008D879: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D879: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D01C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D01C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D03A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D03A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007C8C2: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007C8C2: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BD7A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BD7A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BDA6: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BDA6: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BDB3: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014007BDB3: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014007BDBD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BDBD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BE59: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014007BE59: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008D414: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008D414: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CF3E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CF3E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CBEC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CBEC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CCBC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008CCBC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C8BD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C8BD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C8DB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C8DB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089098: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089098: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008914C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008914C: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089236: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089236: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089244: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089244: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089251: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089251: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089304: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089304: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008933A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008933A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089348: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089348: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089355: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089355: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089402: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089402: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089438: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089438: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089446: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089446: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089453: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089453: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089500: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089500: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089536: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089536: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089544: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089544: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089551: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089551: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400895FE: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400895FE: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008C6A4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C6A4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C3DE: warning: Unable to determine the upper bound of an indirect call or jump; there may be more than 2 entries.
000000014008C137: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C137: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007C00D: warning: Unable to determine the upper bound of an indirect call or jump; there may be more than 2 entries.
000000014008A9DF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A9DF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A9FD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A9FD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A29E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A29E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A36F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A36F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A452: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A452: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A460: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008A460: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008A46D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A46D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A51B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008A51B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008A680: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A680: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A6F4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A6F4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A8AF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008A8AF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C03B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C03B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C059: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008C059: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B09B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B09B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B0AB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B0AB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B17F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B17F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B1AD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B1AD: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B1BB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B1BB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B1C8: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B1C8: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B27E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B27E: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B2E5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B2E5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B2F3: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B2F3: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B300: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B300: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B3BB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B3BB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B46F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B46F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B47D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B47D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B48A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B48A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B545: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B545: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B6B1: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B6B1: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B6BF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B6BF: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B6CC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B6CC: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B787: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B787: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B7D2: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B7D2: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B7E0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B7E0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014008B7ED: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B7ED: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B8A8: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B8A8: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008B8B5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008B8B5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089D1A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089D1A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089DDB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089DDB: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089F16: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089F16: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089F24: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089F24: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
0000000140089F31: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089F31: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
0000000140089FE4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
0000000140089FE4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014008BC46: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014008BC46: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
