=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
00000001400C0DAA: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014007968F: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
000000014007A28B: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
000000014007A28B: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
000000014007A2CB: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_412.
000000014007A2CB: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_412.
00000001400D23E0: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400D23E0: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400D2409: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400D2409: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_18.
00000001400D2497: warning: Unable to resolve imported reference SHELL32.dll!SHBindToParent.
00000001400D24F8: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
00000001400D2522: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400D2534: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400BE231: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400BDCD5: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400BDD0E: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400B55C8: warning: Unable to resolve imported reference SHLWAPI.dll!StrCmpW.
00000001400B2BCD: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400821FC: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveBlanksW.
000000014008223E: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveBlanksW.
00000001400C2166: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
000000014007F3C1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F3C1: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F3DA: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F3DA: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F455: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F455: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F46C: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F46C: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F4BB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F4BB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F4D2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
000000014007F4D2: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_152.
00000001400B5AC3: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400B5AC3: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400B0214: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400B0214: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
