
Database SUBJECTS/from_explorerplusplus.com/version_1.3.4/x64_pe_from_website/subject.exe.i64 already exists.
Do you want to overwrite it? -> ~L~oad existing

  bytes   pages size description
--------- ----- ---- --------------------------------------------
  6021120   735 8192 allocating memory for b-tree...
  5120000   625 8192 allocating memory for virtual array...
   262144    32 8192 allocating memory for name pointers...
-----------------------------------------------------------------
 11403264            total memory allocated

Loading processor module IDADIR/procs/pc64.so for metapc...Initializing processor module metapc...OK
Loading type libraries...
Autoanalysis subsystem has been initialized.
Database for file 'subject.exe' has been loaded.
Hex-Rays Decompiler plugin has been loaded (v7.6.0.210427)
  The hotkeys are F5: decompile, Ctrl-F5: decompile all.

  Please check the Edit/Plugins menu for more informaton.
=== start of cleanup script -> OK
  function at 140009090       with name 'sub_140009090'
  function at 140009140       with name 'unknown_libname_14'
  function at 140009170       with name 'sub_140009170'
  function at 1400091C0       with name 'sub_1400091C0'
  function at 140009200       with name 'sub_140009200'
  function at 140009230       with name 'sub_140009230'
  function at 140009260       with name 'sub_140009260'
  function at 140009380       with name 'sub_140009380'
  function at 140009520       with name 'sub_140009520'
  function at 140009560       with name 'sub_140009560'
  function at 140009570       with name 'sub_140009570'
  function at 140009610       with name 'sub_140009610'
  function at 140009740       with name 'sub_140009740'
  function at 1400097B0       with name 'sub_1400097B0'
  function at 140009900       with name 'sub_140009900'
  function at 1400099E0       with name 'sub_1400099E0'
  function at 140009B40       with name 'sub_140009B40'
  function at 140009C20       with name 'sub_140009C20'
  function at 140009D30       with name 'sub_140009D30'
  function at 140009D40       with name 'sub_140009D40'
  function at 140009DD0       with name 'sub_140009DD0'
  function at 140009E90       with name 'sub_140009E90'
  function at 140009F50       with name 'sub_140009F50'
  function at 14000A090       with name 'sub_14000A090'
  function at 14000A200       with name 'sub_14000A200'
  function at 14000A280       with name 'sub_14000A280'
  function at 14000A300       with name 'sub_14000A300'
  function at 14000A360       with name '??0?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QEAA@AEBV01@@Z'
  function at 14000A390       with name 'sub_14000A390'
  function at 14000A470       with name 'sub_14000A470'
  function at 14000A570       with name 'sub_14000A570'
  function at 14000A590       with name 'sub_14000A590'
  function at 14000A5B0       with name 'sub_14000A5B0'
  function at 14000A630       with name 'sub_14000A630'
  function at 14000A6B0       with name 'sub_14000A6B0'
  function at 14000A760       with name 'sub_14000A760'
  function at 14000A830       with name 'sub_14000A830'
  function at 14000A910       with name 'sub_14000A910'
  function at 14000A980       with name 'sub_14000A980'
  function at 14000A9C0       with name 'sub_14000A9C0'
  function at 14000AA30       with name 'sub_14000AA30'
  function at 14000AA90       with name 'sub_14000AA90'
  function at 14000AB00       with name 'sub_14000AB00'
  function at 14000AB70       with name 'sub_14000AB70'
  function at 14000ABE0       with name 'sub_14000ABE0'
  function at 14000AC40       with name 'sub_14000AC40'
  function at 14000AD00       with name 'sub_14000AD00'
  function at 14000AEE0       with name 'sub_14000AEE0'
  function at 14000AEF0       with name 'sub_14000AEF0'
  function at 14000AF00       with name 'sub_14000AF00'
  function at 14000AF10       with name 'sub_14000AF10'
