=== Using options:--aggressive-branch-removal
08059428: warning: Unable to resolve imported reference rb_class_path.
080590B8: warning: Unable to resolve imported reference rb_str_new.
080590B8: warning: Unable to resolve imported reference rb_str_new.
08058FB8: warning: Unable to resolve imported reference rb_protect.
080590B8: warning: Unable to resolve imported reference rb_str_new.
08058FB8: warning: Unable to resolve imported reference rb_protect.
080590B8: warning: Unable to resolve imported reference rb_str_new.
08058FB8: warning: Unable to resolve imported reference rb_protect.
08059878: warning: Unable to resolve imported reference rb_intern.
08059908: warning: Unable to resolve imported reference rb_funcall3.
08058FB8: warning: Unable to resolve imported reference rb_protect.
08058F28: warning: Unable to resolve imported reference ruby_init.
08059518: warning: Unable to resolve imported reference ruby_script.
08058FE8: warning: Unable to resolve imported reference ruby_init_loadpath.
080591D8: warning: Unable to resolve imported reference rb_define_singleton_method.
08058CB8: warning: Unable to resolve imported reference rb_define_global_function.
08059288: warning: Unable to resolve imported reference rb_define_module.
08059838: warning: Unable to resolve imported reference rb_str_new2.
08059AC8: warning: Unable to resolve imported reference rb_define_const.
08059838: warning: Unable to resolve imported reference rb_str_new2.
08059AC8: warning: Unable to resolve imported reference rb_define_const.
080596B8: warning: Unable to resolve imported reference rb_define_module_function.
080596B8: warning: Unable to resolve imported reference rb_define_module_function.
080596B8: warning: Unable to resolve imported reference rb_define_module_function.
08059838: warning: Unable to resolve imported reference rb_str_new2.
080593F8: warning: Unable to resolve imported reference rb_load_protect.
08059658: warning: Unable to resolve imported reference rb_obj_as_string.
080594E8: warning: Unable to resolve imported reference rb_inspect.
08059A38: warning: Unable to resolve imported reference gss_init_sec_context.
080D2B91: warning: The format specifier '%*' passed to *printf is not known.
08059828: warning: Unable to resolve imported reference gss_import_name.
080596C8: warning: Unable to resolve imported reference gss_delete_sec_context.
08058CD8: warning: Unable to resolve imported reference gss_release_name.
08058DA8: warning: Unable to resolve imported reference gss_release_buffer.
080599E8: warning: Unable to resolve imported reference strcspn.
08059168: warning: Unable to resolve imported reference gnutls_init.
08059138: warning: Unable to resolve imported reference gnutls_credentials_set.
08059138: warning: Unable to resolve imported reference gnutls_credentials_set.
080597D8: warning: Unable to resolve imported reference gnutls_priority_set_direct.
080590E8: warning: Unable to resolve imported reference gnutls_cipher_set_priority.
08059388: warning: Unable to resolve imported reference gnutls_kx_set_priority.
080593E8: warning: Unable to resolve imported reference gnutls_deinit.
080593E8: warning: Unable to resolve imported reference gnutls_deinit.
08058F18: warning: Unable to resolve imported reference gnutls_transport_set_ptr.
08058DD8: warning: Unable to resolve imported reference gnutls_handshake.
08059478: warning: Unable to resolve imported reference getifaddrs.
08059478: warning: Unable to resolve imported reference getifaddrs.
080596E8: warning: Unable to resolve imported reference freeifaddrs.
08059568: warning: Unable to resolve imported reference gnutls_certificate_verify_peers.
080593A8: warning: Unable to resolve imported reference gnutls_protocol_set_priority.
08058D88: warning: Unable to resolve imported reference bsearch.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080598D8: warning: Unable to resolve imported reference memchr.
080599F8: warning: Unable to resolve imported reference getpeername.
08058D08: warning: Unable to resolve imported reference getsockname.
08058D08: warning: Unable to resolve imported reference getsockname.
08058F68: warning: Unable to resolve imported reference listen.
08059858: warning: Unable to resolve imported reference setsockopt.
08058EA8: warning: Unable to resolve imported reference strtod.
