=== Using options:--aggressive-branch-removal
000000000041A319: warning: Unable to resolve imported reference socket_type_table.
000000000041A329: warning: Unable to resolve imported reference socket_domain_table.
000000000041A1B2: warning: Unable to resolve imported reference caml_local_roots.
000000000041A230: warning: Unable to resolve imported reference caml_local_roots.
000000000041A252: warning: Unable to resolve imported reference sigpending.
000000000041A165: warning: Unable to resolve imported reference sigsuspend.
000000000041A0EB: warning: Unable to resolve imported reference shutdown.
000000000041A0AF: warning: Unable to resolve imported reference setuid.
000000000041A094: warning: Unable to resolve imported reference setsid.
000000000041A06B: warning: Unable to resolve imported reference setgid.
0000000000419F70: warning: Unable to resolve imported reference caml_local_roots.
0000000000419FD1: warning: Unable to resolve imported reference __recv_chk.
000000000041A013: warning: Unable to resolve imported reference caml_local_roots.
0000000000419DF1: warning: Unable to resolve imported reference caml_local_roots.
0000000000419E75: warning: Unable to resolve imported reference __recvfrom_chk.
0000000000419EF2: warning: Unable to resolve imported reference caml_local_roots.
0000000000419D1D: warning: Unable to resolve imported reference __memmove_chk.
0000000000419D36: warning: Unable to resolve imported reference send.
0000000000419BE5: warning: Unable to resolve imported reference __memmove_chk.
0000000000419C07: warning: Unable to resolve imported reference sendto.
0000000000419985: warning: Unable to resolve imported reference caml_local_roots.
0000000000419A9D: warning: Unable to resolve imported reference select.
000000000041989F: warning: Unable to resolve imported reference caml_local_roots.
0000000000419954: warning: Unable to resolve imported reference caml_local_roots.
0000000000419B32: warning: Unable to resolve imported reference caml_local_roots.
0000000000419808: warning: Unable to resolve imported reference rmdir.
00000000004197F4: warning: Unable to resolve imported reference rewinddir.
00000000004197B4: warning: Unable to resolve imported reference rename.
0000000000419720: warning: Unable to resolve imported reference readdir64.
0000000000419629: warning: Unable to resolve imported reference caml_local_roots.
000000000041968A: warning: Unable to resolve imported reference __read_chk.
00000000004196CC: warning: Unable to resolve imported reference caml_local_roots.
00000000004195BF: warning: Unable to resolve imported reference putenv.
00000000004193CE: warning: Unable to resolve imported reference caml_local_roots.
000000000041948B: warning: Unable to resolve imported reference caml_local_roots.
000000000041937D: warning: Unable to resolve imported reference nice.
0000000000419337: warning: Unable to resolve imported reference mkfifo.
00000000004192BA: warning: Unable to resolve imported reference lseek64.
0000000000419277: warning: Unable to resolve imported reference lseek64.
000000000041907E: warning: Unable to resolve imported reference kill.
0000000000418F96: warning: Unable to resolve imported reference modf.
0000000000418FAD: warning: Unable to resolve imported reference ceil.
0000000000419030: warning: Unable to resolve imported reference setitimer.
0000000000418F58: warning: Unable to resolve imported reference getitimer.
0000000000418EA3: warning: Unable to resolve imported reference gmtime.
0000000000418D2A: warning: Unable to resolve imported reference caml_local_roots.
0000000000418E3D: warning: Unable to resolve imported reference caml_local_roots.
0000000000418C13: warning: Unable to resolve imported reference getsockname.
0000000000418BC5: warning: Unable to resolve imported reference getservbyname.
0000000000418AE0: warning: Unable to resolve imported reference caml_local_roots.
0000000000418BA5: warning: Unable to resolve imported reference getservbyport.
000000000041892E: warning: Unable to resolve imported reference caml_local_roots.
00000000004188DA: warning: Unable to resolve imported reference getprotobyname.
0000000000418823: warning: Unable to resolve imported reference caml_local_roots.
00000000004188BA: warning: Unable to resolve imported reference getprotobynumber.
00000000004187F4: warning: Unable to resolve imported reference getppid.
0000000000418787: warning: Unable to resolve imported reference getpeername.
0000000000418611: warning: Unable to resolve imported reference caml_local_roots.
0000000000418722: warning: Unable to resolve imported reference caml_local_roots.
00000000004185C0: warning: Unable to resolve imported reference getlogin.
000000000041858D: warning: Unable to resolve imported reference gethostname.
00000000004184A9: warning: Unable to resolve imported reference gethostbyaddr_r.
000000000041829C: warning: Unable to resolve imported reference caml_local_roots.
0000000000418309: warning: Unable to resolve imported reference caml_atom_table.
000000000041838B: warning: Unable to resolve imported reference caml_local_roots.
00000000004183DB: warning: Unable to resolve imported reference __h_errno_location.
00000000004183F8: warning: Unable to resolve imported reference gethostbyname_r.
0000000000418208: warning: Unable to resolve imported reference getgroups.
0000000000418104: warning: Unable to resolve imported reference caml_local_roots.
000000000041809C: warning: Unable to resolve imported reference getegid.
0000000000417B73: warning: Unable to resolve imported reference caml_local_roots.
0000000000417CFB: warning: Unable to resolve imported reference socket_domain_table.
0000000000417DE4: warning: Unable to resolve imported reference caml_local_roots.
0000000000417D17: warning: Unable to resolve imported reference socket_type_table.
0000000000417FEE: warning: Unable to resolve imported reference caml_local_roots.
0000000000417EFE: warning: Unable to resolve imported reference socket_domain_table.
0000000000417F27: warning: Unable to resolve imported reference socket_type_table.
0000000000417F74: warning: Unable to resolve imported reference caml_local_roots.
0000000000417B12: warning: Unable to resolve imported reference ftruncate64.
0000000000417AE3: warning: Unable to resolve imported reference ftruncate64.
0000000000417AB0: warning: Unable to resolve imported reference fork.
000000000041793D: warning: Unable to resolve imported reference fchown.
000000000041790A: warning: Unable to resolve imported reference fchmod.
000000000041781A: warning: Unable to resolve imported reference execve.
0000000000417778: warning: Unable to resolve imported reference error_table.
0000000000417722: warning: Unable to resolve imported reference dup2.
00000000004175D8: warning: Unable to resolve imported reference chroot.
00000000004175B2: warning: Unable to resolve imported reference chown.
0000000000417560: warning: Unable to resolve imported reference chdir.
00000000004174C7: warning: Unable to resolve imported reference alarm.
000000000041738E: warning: Unable to resolve imported reference caml_local_roots.
00000000004172F7: warning: Unable to resolve imported reference camlCallback.
0000000000417308: warning: Unable to resolve imported reference camlCallback.
00000000004172D0: warning: Unable to resolve imported reference caml_register_named_value.
00000000004172B0: warning: Unable to resolve imported reference caml_young_limit.
00000000004172D0: warning: Unable to resolve imported reference caml_register_named_value.
000000000041727A: warning: Unable to resolve imported reference caml_register_named_value.
0000000000417147: warning: Unable to resolve imported reference camlHashtbl.
0000000000417159: warning: Unable to resolve imported reference camlHashtbl.
000000000041716A: warning: Unable to resolve imported reference camlHashtbl.
000000000041717C: warning: Unable to resolve imported reference camlHashtbl.
000000000041718E: warning: Unable to resolve imported reference camlHashtbl.
00000000004171A0: warning: Unable to resolve imported reference camlHashtbl.
00000000004171B2: warning: Unable to resolve imported reference camlHashtbl.
00000000004171C4: warning: Unable to resolve imported reference camlHashtbl.
00000000004171D6: warning: Unable to resolve imported reference camlHashtbl.
00000000004171E8: warning: Unable to resolve imported reference camlHashtbl.
00000000004171FA: warning: Unable to resolve imported reference camlHashtbl.
000000000041720C: warning: Unable to resolve imported reference camlHashtbl.
000000000041721E: warning: Unable to resolve imported reference camlHashtbl.
0000000000417230: warning: Unable to resolve imported reference camlHashtbl.
0000000000417242: warning: Unable to resolve imported reference camlHashtbl.
0000000000417254: warning: Unable to resolve imported reference camlHashtbl.
0000000000416EF7: warning: Unable to resolve imported reference camlHashtbl.
0000000000416F01: warning: Unable to resolve imported reference camlHashtbl.
0000000000416F0C: warning: Unable to resolve imported reference camlHashtbl.
0000000000416F1E: warning: Unable to resolve imported reference caml_young_limit.
0000000000416F3A: warning: Unable to resolve imported reference camlHashtbl__safehash_205.
0000000000416F5C: warning: Unable to resolve imported reference caml_curry3.
0000000000416F6E: warning: Unable to resolve imported reference camlHashtbl__add_207.
0000000000416F89: warning: Unable to resolve imported reference caml_curry2.
0000000000416F9B: warning: Unable to resolve imported reference camlHashtbl__remove_213.
0000000000416FBA: warning: Unable to resolve imported reference caml_curry2.
0000000000416FCC: warning: Unable to resolve imported reference camlHashtbl__find_rec_221.
0000000000416FEA: warning: Unable to resolve imported reference caml_curry2.
0000000000416FFC: warning: Unable to resolve imported reference camlHashtbl__find_226.
000000000041701A: warning: Unable to resolve imported reference caml_young_limit.
0000000000417036: warning: Unable to resolve imported reference caml_curry2.
0000000000417048: warning: Unable to resolve imported reference camlHashtbl__find_all_238.
0000000000417067: warning: Unable to resolve imported reference caml_curry3.
0000000000417079: warning: Unable to resolve imported reference camlHashtbl__replace_245.
0000000000417098: warning: Unable to resolve imported reference caml_curry2.
00000000004170AA: warning: Unable to resolve imported reference camlHashtbl__mem_255.
00000000004170BD: warning: Unable to resolve imported reference camlHashtbl.
00000000004170C8: warning: Unable to resolve imported reference camlHashtbl.
