Using options:
0000829C: error: capstone.dll
00008258: error: capstone.dll
000082D8: error: capstone.dll
0000838C: error: capstone.dll
000085C0: error: capstone.dll
000085BC: error: capstone.dll
0000855C: error: capstone.dll
00008540: error: capstone.dll
00008404: error: capstone.dll
000083E4: error: capstone.dll
000083C4: error: capstone.dll
00008364: error: capstone.dll
0000832C: error: capstone.dll
000082FC: error: capstone.dll
0000829C: error: capstone.dll
