=== Using options:--aggressive-branch-removal
000000000041A1A0: warning: Unable to resolve imported reference caml_local_roots.
000000000041A201: warning: Unable to resolve imported reference __recv_chk.
000000000041A243: warning: Unable to resolve imported reference caml_local_roots.
000000000041A021: warning: Unable to resolve imported reference caml_local_roots.
000000000041A0A5: warning: Unable to resolve imported reference __recvfrom_chk.
000000000041A122: warning: Unable to resolve imported reference caml_local_roots.
0000000000419F4D: warning: Unable to resolve imported reference __memmove_chk.
0000000000419F66: warning: Unable to resolve imported reference send.
0000000000419E15: warning: Unable to resolve imported reference __memmove_chk.
0000000000419E37: warning: Unable to resolve imported reference sendto.
0000000000419BB5: warning: Unable to resolve imported reference caml_local_roots.
0000000000419CCD: warning: Unable to resolve imported reference select.
0000000000419ACF: warning: Unable to resolve imported reference caml_local_roots.
0000000000419B84: warning: Unable to resolve imported reference caml_local_roots.
0000000000419D62: warning: Unable to resolve imported reference caml_local_roots.
0000000000419A38: warning: Unable to resolve imported reference rmdir.
0000000000419A24: warning: Unable to resolve imported reference rewinddir.
00000000004199E4: warning: Unable to resolve imported reference rename.
0000000000419950: warning: Unable to resolve imported reference readdir64.
0000000000419859: warning: Unable to resolve imported reference caml_local_roots.
00000000004198BA: warning: Unable to resolve imported reference __read_chk.
00000000004198FC: warning: Unable to resolve imported reference caml_local_roots.
00000000004197EF: warning: Unable to resolve imported reference putenv.
00000000004195FE: warning: Unable to resolve imported reference caml_local_roots.
00000000004196BB: warning: Unable to resolve imported reference caml_local_roots.
00000000004195AD: warning: Unable to resolve imported reference nice.
0000000000419567: warning: Unable to resolve imported reference mkfifo.
00000000004194EA: warning: Unable to resolve imported reference lseek64.
00000000004194A7: warning: Unable to resolve imported reference lseek64.
00000000004192FE: warning: Unable to resolve imported reference listen.
00000000004191C6: warning: Unable to resolve imported reference modf.
00000000004191DD: warning: Unable to resolve imported reference ceil.
0000000000419260: warning: Unable to resolve imported reference setitimer.
0000000000419188: warning: Unable to resolve imported reference getitimer.
00000000004190D3: warning: Unable to resolve imported reference gmtime.
0000000000418F5A: warning: Unable to resolve imported reference caml_local_roots.
000000000041906D: warning: Unable to resolve imported reference caml_local_roots.
0000000000418E43: warning: Unable to resolve imported reference getsockname.
0000000000418DF5: warning: Unable to resolve imported reference getservbyname.
0000000000418D10: warning: Unable to resolve imported reference caml_local_roots.
0000000000418DD5: warning: Unable to resolve imported reference getservbyport.
0000000000418B5E: warning: Unable to resolve imported reference caml_local_roots.
0000000000418B0A: warning: Unable to resolve imported reference getprotobyname.
0000000000418A53: warning: Unable to resolve imported reference caml_local_roots.
0000000000418AEA: warning: Unable to resolve imported reference getprotobynumber.
0000000000418A24: warning: Unable to resolve imported reference getppid.
00000000004189B7: warning: Unable to resolve imported reference getpeername.
0000000000418841: warning: Unable to resolve imported reference caml_local_roots.
0000000000418952: warning: Unable to resolve imported reference caml_local_roots.
00000000004187F0: warning: Unable to resolve imported reference getlogin.
00000000004187BD: warning: Unable to resolve imported reference gethostname.
00000000004186D9: warning: Unable to resolve imported reference gethostbyaddr_r.
00000000004184CC: warning: Unable to resolve imported reference caml_local_roots.
0000000000418539: warning: Unable to resolve imported reference caml_atom_table.
00000000004185BB: warning: Unable to resolve imported reference caml_local_roots.
000000000041860B: warning: Unable to resolve imported reference __h_errno_location.
0000000000418628: warning: Unable to resolve imported reference gethostbyname_r.
0000000000418438: warning: Unable to resolve imported reference getgroups.
0000000000418334: warning: Unable to resolve imported reference caml_local_roots.
00000000004182CC: warning: Unable to resolve imported reference getegid.
0000000000417DA3: warning: Unable to resolve imported reference caml_local_roots.
0000000000417F2B: warning: Unable to resolve imported reference socket_domain_table.
0000000000418014: warning: Unable to resolve imported reference caml_local_roots.
0000000000417F47: warning: Unable to resolve imported reference socket_type_table.
000000000041821E: warning: Unable to resolve imported reference caml_local_roots.
000000000041812E: warning: Unable to resolve imported reference socket_domain_table.
0000000000418157: warning: Unable to resolve imported reference socket_type_table.
00000000004181A4: warning: Unable to resolve imported reference caml_local_roots.
0000000000417D42: warning: Unable to resolve imported reference ftruncate64.
0000000000417D13: warning: Unable to resolve imported reference ftruncate64.
0000000000417CE0: warning: Unable to resolve imported reference fork.
0000000000417B6D: warning: Unable to resolve imported reference fchown.
0000000000417B3A: warning: Unable to resolve imported reference fchmod.
0000000000417A4A: warning: Unable to resolve imported reference execve.
00000000004179A8: warning: Unable to resolve imported reference error_table.
0000000000417952: warning: Unable to resolve imported reference dup2.
0000000000417808: warning: Unable to resolve imported reference chroot.
00000000004177E2: warning: Unable to resolve imported reference chown.
0000000000417790: warning: Unable to resolve imported reference chdir.
00000000004176F7: warning: Unable to resolve imported reference alarm.
00000000004175BE: warning: Unable to resolve imported reference caml_local_roots.
0000000000417527: warning: Unable to resolve imported reference camlCallback.
0000000000417538: warning: Unable to resolve imported reference camlCallback.
0000000000417500: warning: Unable to resolve imported reference caml_register_named_value.
00000000004174E0: warning: Unable to resolve imported reference caml_young_limit.
0000000000417500: warning: Unable to resolve imported reference caml_register_named_value.
