=== Using options:--aggressive-branch-removal
0804911D: warning: Call target address 00000000 is invalid.
0804F530: warning: x86 instruction 'popfw' is not supported yet.
0804F620: warning: x86 instruction 'popfw' is not supported yet.
0804F70A: warning: x86 instruction 'popfw' is not supported yet.
0804F7F5: warning: x86 instruction 'popfw' is not supported yet.
0804F8F0: warning: x86 instruction 'popfw' is not supported yet.
0804F9E0: warning: x86 instruction 'popfw' is not supported yet.
0804FACA: warning: x86 instruction 'popfw' is not supported yet.
0804FBB5: warning: x86 instruction 'popfw' is not supported yet.
0804FCB0: warning: x86 instruction 'popfw' is not supported yet.
0804FDA0: warning: x86 instruction 'popfw' is not supported yet.
0804FE8A: warning: x86 instruction 'popfw' is not supported yet.
0804FF75: warning: x86 instruction 'popfw' is not supported yet.
08050070: warning: x86 instruction 'popfw' is not supported yet.
08050160: warning: x86 instruction 'popfw' is not supported yet.
0805024A: warning: x86 instruction 'popfw' is not supported yet.
08050335: warning: x86 instruction 'popfw' is not supported yet.
08050430: warning: x86 instruction 'popfw' is not supported yet.
08050520: warning: x86 instruction 'popfw' is not supported yet.
0805060A: warning: x86 instruction 'popfw' is not supported yet.
080506F5: warning: x86 instruction 'popfw' is not supported yet.
080507F0: warning: x86 instruction 'popfw' is not supported yet.
080508E0: warning: x86 instruction 'popfw' is not supported yet.
080509CA: warning: x86 instruction 'popfw' is not supported yet.
08050AB5: warning: x86 instruction 'popfw' is not supported yet.
08050BB0: warning: x86 instruction 'popfw' is not supported yet.
08050CA0: warning: x86 instruction 'popfw' is not supported yet.
08050D8A: warning: x86 instruction 'popfw' is not supported yet.
08050E75: warning: x86 instruction 'popfw' is not supported yet.
08050F70: warning: x86 instruction 'popfw' is not supported yet.
08051060: warning: x86 instruction 'popfw' is not supported yet.
0805114A: warning: x86 instruction 'popfw' is not supported yet.
08051235: warning: x86 instruction 'popfw' is not supported yet.
08051330: warning: x86 instruction 'popfw' is not supported yet.
08051420: warning: x86 instruction 'popfw' is not supported yet.
0805150A: warning: x86 instruction 'popfw' is not supported yet.
080515F5: warning: x86 instruction 'popfw' is not supported yet.
080516F0: warning: x86 instruction 'popfw' is not supported yet.
080517E0: warning: x86 instruction 'popfw' is not supported yet.
080518CA: warning: x86 instruction 'popfw' is not supported yet.
080519B5: warning: x86 instruction 'popfw' is not supported yet.
08051AB0: warning: x86 instruction 'popfw' is not supported yet.
08051BA0: warning: x86 instruction 'popfw' is not supported yet.
08051C8A: warning: x86 instruction 'popfw' is not supported yet.
08051D75: warning: x86 instruction 'popfw' is not supported yet.
08051E70: warning: x86 instruction 'popfw' is not supported yet.
08051F60: warning: x86 instruction 'popfw' is not supported yet.
0805204A: warning: x86 instruction 'popfw' is not supported yet.
08052135: warning: x86 instruction 'popfw' is not supported yet.
08052230: warning: x86 instruction 'popfw' is not supported yet.
08052320: warning: x86 instruction 'popfw' is not supported yet.
0805240A: warning: x86 instruction 'popfw' is not supported yet.
080524F5: warning: x86 instruction 'popfw' is not supported yet.
080525F0: warning: x86 instruction 'popfw' is not supported yet.
080526E0: warning: x86 instruction 'popfw' is not supported yet.
080527CA: warning: x86 instruction 'popfw' is not supported yet.
080528B5: warning: x86 instruction 'popfw' is not supported yet.
080529B0: warning: x86 instruction 'popfw' is not supported yet.
08052AA0: warning: x86 instruction 'popfw' is not supported yet.
08052B8A: warning: x86 instruction 'popfw' is not supported yet.
08052C75: warning: x86 instruction 'popfw' is not supported yet.
08052D70: warning: x86 instruction 'popfw' is not supported yet.
08052E60: warning: x86 instruction 'popfw' is not supported yet.
08052F4A: warning: x86 instruction 'popfw' is not supported yet.
08053035: warning: x86 instruction 'popfw' is not supported yet.
0805312F: warning: x86 instruction 'popfw' is not supported yet.
0805321E: warning: x86 instruction 'popfw' is not supported yet.
08053307: warning: x86 instruction 'popfw' is not supported yet.
080533F1: warning: x86 instruction 'popfw' is not supported yet.
080534EA: warning: x86 instruction 'popfw' is not supported yet.
080535D9: warning: x86 instruction 'popfw' is not supported yet.
